Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,625.000000,625.000000,625.000000,625.000000,573.291748,0
2018-01-02,635.000000,645.000000,625.000000,635.000000,582.464417,36621000
2018-01-03,635.000000,655.000000,630.000000,630.000000,577.878052,43607600
2018-01-04,635.000000,645.000000,635.000000,640.000000,587.050781,15064900
2018-01-05,645.000000,660.000000,645.000000,655.000000,600.809814,49323700
2018-01-08,660.000000,660.000000,640.000000,650.000000,596.223389,31920500
2018-01-09,655.000000,680.000000,650.000000,655.000000,600.809814,51688900
2018-01-10,655.000000,665.000000,645.000000,650.000000,596.223389,20774300
2018-01-11,655.000000,660.000000,645.000000,650.000000,596.223389,14235700
2018-01-12,650.000000,670.000000,645.000000,665.000000,609.982422,66859000
2018-01-15,670.000000,680.000000,660.000000,660.000000,605.396179,52828200
2018-01-16,665.000000,720.000000,665.000000,705.000000,646.673096,236009800
2018-01-17,705.000000,740.000000,690.000000,730.000000,669.604736,242283100
2018-01-18,750.000000,775.000000,730.000000,740.000000,678.777405,276688800
2018-01-19,745.000000,765.000000,735.000000,760.000000,697.122742,91891800
2018-01-22,765.000000,790.000000,765.000000,775.000000,710.881775,142992100
2018-01-23,780.000000,810.000000,775.000000,800.000000,733.813416,153083300
2018-01-24,805.000000,815.000000,780.000000,780.000000,715.468079,93794700
2018-01-25,810.000000,870.000000,810.000000,845.000000,775.090393,352356500
2018-01-26,860.000000,875.000000,855.000000,855.000000,784.263000,136492700
2018-01-29,875.000000,915.000000,865.000000,905.000000,830.126404,289138600
2018-01-30,920.000000,940.000000,885.000000,910.000000,834.712769,315950100
2018-01-31,900.000000,925.000000,890.000000,915.000000,839.299133,144940600
2018-02-01,920.000000,920.000000,900.000000,910.000000,834.712769,89292800
2018-02-02,920.000000,930.000000,905.000000,905.000000,830.126404,99715700
2018-02-05,880.000000,890.000000,860.000000,870.000000,798.022034,81427400
2018-02-06,845.000000,855.000000,790.000000,850.000000,779.676697,226942600
2018-02-07,865.000000,880.000000,845.000000,870.000000,798.022034,135418800
2018-02-08,870.000000,875.000000,850.000000,855.000000,784.263000,33518900
2018-02-09,835.000000,840.000000,825.000000,830.000000,761.331421,56923900
2018-02-12,840.000000,860.000000,835.000000,855.000000,784.263000,44170700
2018-02-13,870.000000,880.000000,860.000000,875.000000,802.608398,58777900
2018-02-14,885.000000,910.000000,880.000000,885.000000,811.781128,73143000
2018-02-15,910.000000,920.000000,900.000000,910.000000,834.712769,122690300
